,QA Cost,Overall Success,Dialog Reward,Precision,Recall
133,-19.066,0.472,74.331,0.492,1.0
144,-18.946,0.504,68.25,0.5216494845360825,0.9960629921259843
155,-19.573,0.456,48.779,0.5384615384615384,0.9923371647509579
166,-17.751,0.408,21.163,0.5408653846153846,0.9109311740890689
