,Overall Cost,Overall Success,Overall Reward,Precision,Recall
133,-14.642,0.734,27.238,0.7344262295081967,0.8995983935742972
144,-14.152,0.58,18.264,0.6655405405405406,0.7911646586345381
155,-12.189,0.448,7.235,0.6401673640167364,0.6144578313253012
166,-8.704,0.328,0.388,0.6401869158878505,0.5502008032128514
