,QA Cost,Overall Success,Dialog Reward,Precision,Recall,F1 Score,QACostStd,RewardStd,Efficiency,Accuracy
144,20.455,0.4174,-20.1714,0.719919110212,0.566653402308,0.634157203295,19.2803520455,44.1542208859,8.64313375037,0.6714
155,15.0266,0.3212,-25.6395,0.717628705148,0.366096299244,0.484848484848,15.6340427414,40.0431565907,7.73596059113,0.609
166,11.8826,0.2442,-29.2162,0.646869983949,0.160366096299,0.257015306122,13.4107948027,36.0553097,7.26891385768,0.534
