,QA Cost,Overall Success,Dialog Reward,Precision,Recall
133,-19.567,0.71,72.933,0.6442048517520216,0.987603305785124
144,-18.907,0.71,65.893,0.6705882352941176,0.9306122448979591
155,-19.574,0.602,37.326,0.6787878787878788,0.8452830188679246
166,-16.976,0.5,7.524,0.6452830188679245,0.7215189873417721
