,Overall Cost,Overall Success,Overall Reward,Precision,Recall
2,-14.642,0.734,27.238,0.7344262295081967,0.8995983935742972
3,-15.032,0.788,25.868,0.8212927756653993,0.8674698795180723
4,-15.73,0.816,25.03,0.8791666666666667,0.8473895582329317
5,-16.437,0.842,24.323,0.9366515837104072,0.8313253012048193
6,-16.967,0.838,23.093,0.9436619718309859,0.8072289156626506
7,-17.194,0.834,22.306,0.9563106796116505,0.7911646586345381
8,-17.547,0.824,20.973,0.9695431472081218,0.7670682730923695
